,#1 String,#2 String
1975,After independence they were one of the regiments allocated to the Indian Army .,After independence in 1947 they were one of the regiments allocated to the Indian Army .
1976,"It is based in Edinburgh , Scotland , and has members throughout the world .","RMS is based in Edinburgh , Scotland ."
1977,The simmering discontent in the various districts of the company territories exploded in 1857 into the Sepoy war .,The discontent in the various districts of the company territories exploded in 1857 into the Sepoy war .
1978,Chambretaud is a commune in the Vendée department in the Pays de la Loire region in western France .,Chambretaud is a commune . It is found in the Pays de la Loire region in the Vendée department in the west of France .
1979,Search engine partners .,Forestle search engine partners .
1980,"The collection has its roots in a meeting between Bach and Frederick II on May 7 , 1747 .",The idea for this music started at a meeting between Bach and Frederick II on 7 May 1747 .
1981,"The European eel and other freshwater eels are eaten in Europe , the United States , and other places .",Some people eat the European eel and other eels that live in lakes all around the world .
1982,"After the World War I , the Saar area came under special rulership of the League of Nations , and thus the Sankt Wendel district was split into two parts .","After World War I the Saar area came under special rulership of the League of Nations , and the Sankt Wendel district was split into two parts ."
1983,Lott is also the father of former Tampa Bay Buccaneers linebacker Ryan Nece .,Lott is the father of former Tampa Bay Buccaneers linebacker Ryan Nece .
1984,"The Lymington Branch Line is a railway that runs from Brockenhurst to Lymington Pier , both in the New Forest .",The Lymington branch line is a short line running between Brockenhurst and Lymington Pier .
1985,He served as a Democrat in the Guam Legislature from 1993 until his death in 2014 of cancer .,He served in the Guam Legislature from 1994 until his death in 2014 as a Democrat . He died of cancer .
1986,Camignolo is a former municipality in the district of Lugano in the canton of Ticino in Switzerland .,Camignolo is a municipality of the district of Lugano in the canton of Ticino in Switzerland .
1987,"If the boundary line is demarcated according to the Thalweg principle , Pakistan stands to lose a considerable portion of the territory that was historically part of the province of Sindh .","If the boundary line is demarcated ( outlined ) according to the Thalweg principle , Pakistan stands to lose a considerable portion of the territory that was historically part of the province of Sindh ."
1988,Some people consider catsuits to be a fetish item .,Some people consider catsuits to be fetish items .
1989,"Carson was born in Corning , Iowa , on October 23 , 1925 , to Homer Lloyd `` Kit '' Carson , a power company manager , and Ruth ( Hook ) Carson , who was of part Irish descent .","Carson was born in Corning , Iowa , in 1925 , to Homer Lloyd `` Kit '' Carson , a power company manager , and Ruth ( Hook ) Carson , who was of Irish ancestry ."
1990,"Finally , she took it upon herself to hand-paint a white stripe down the middle of the road , thus establishing the actual width of the lane to prevent similar accidents .","Finally , she took it upon herself to hand-paint a white stripe down the middle of the road ."
1991,"Their 2007 follow-up , Infinity on High , landed at number one on the Billboard 200 , and produced several hit singles , `` This Ai n't a Scene , It 's an Arms Race '' and `` Thnks fr th Mmrs '' .","They are `` This Ai n't a Scene , It 's an Arms Race '' and `` Thnks fr th Mmrs '' ."
1992,"Northeast Arnhem Land is home to the indigenous Yolngu people , one of the largest Indigenous groups in Australia , and one who have succeeded in maintaining a vigorous traditional indigenous culture .","North east Arnhem Land is home to the Yolngu people , one of the largest indigenous groups in Australia ."
1993,"Since Delgadillo 's death in 2004 , the Snow Cap has been run by his daughter Cecilia and son John , all whom work the counter in the same playful manner .","Since Delgadillo 's death in 2004 , the Snow Cap has been run by his sons John-Michael and Robert ."
1994,"Between 1995 and 1999 , he was the announcer of the lottery game show `` Flamingo Fortune '' .","Before then , he was the announcer of lottery game show `` Flamingo Fortune '' from 1995 to 1999 ."
1995,"It was also announced that the rest of the `` Tank Gang '' would return , as well as many of the other original characters from `` Nemo '' , in addition to several new ones that have yet to be announced .","It was also announced that Nemo and the `` Tank Gang '' would return , as well as many other original characters from `` Nemo '' , in addition to several new ones ."
1996,"This migratory bird breeds in eastern North America and winters in Central America , many Caribbean Islands , Florida , and northern Venezuela .","This migratory bird is found in eastern North America and winters in Central America , many Caribbean Islands , Florida , and northern Venezuela ."
1997,It is spread from the lowest to the highest note .,An arpeggiated chord is spread from the lowest to the highest note .
1998,"Eusebius in turn was preserved by Jerome in his Latin translation , an Armenian translation , and by George Syncellus .","Eusebius 's copy was used by Jerome in his Latin translation , an Armenian translation , and by George Syncellus ."
1999,"The humanities include ancient and modern languages , literature , philosophy , religion , and visual and performing arts such as music and theater .","The humanities include languages , literature , music , philosophy , history , media , the classics , religion , and the visual and performing arts ."
2000,Members of the Australian genus `` Cyclorana '' bury themselves underground where they create a water-impervious cocoon in which to aestivate during dry periods .,Members of the genus `` Cyclorana '' live in the Australian central desert . They bury themselves underground where they create a waterproof cocoon in which to aestivate during dry periods .
2001,"These ceremonies include dancing , singing , and celebrations with traditional attire .","These ceremonies include dancing , singing , and celebrations with traditional clothing ."
2002,The name dinar derives from the Roman denarius .,The name dinar is from the Roman denarius .
2003,Queen Elizabeth II once commented that Goderich was `` the prettiest town in Canada '' although no reigning monarch has ever visited Goderich .,"Queen Elizabeth II once said that Goderich was `` the prettiest town in Canada '' , although no reigning monarch has ever visited the town ."
2004,"Most rural parish councillors are elected to represent the entire parish , though in parishes with larger populations or those that cover large areas , the parish can be divided into wards .","Most parish councillors are elected to represent the entire parish , though in parishes with larger populations or those that cover large areas , the parish can be divided into wards ."
