#1 String,#2 String
"Yes, Dad?",Yes Dad?
2 girls laying down on the grass.,The girls are lying on the grass.
um yeah i usually don't  go somewhere that's too far away,I usually don't go somewhere far away.
Lieberman repeats his desire for a stinging censure so often that I am beginning to think he likes whips.,LIeberman has a desire for a stinging censure.
She actually looked sad.,Her expression was one of sadness.
"It is advisable to shop at outlets that are members of the Hong Kong Tourist Association (HKTA), identified by a red junk logo.",You should shop at the outlets with the HKTA logo.
The skateboarder wearing jeans and a white shirt performs a trick.,A person doing tricks on a skateboard.
"Inside it, a tiny point of light danced frantically back and forth.",A small beam of light moved back and forth inside it.
"These managers could now focus on, and be held accountable for, achieving goals instead of merely complying with rules.",The managers could focus on achieving goals instead of following rules.
The lowest level of the pool dates back to the eighth century b.c.,The deepest level of the pool can be dated back to 700 B.C.
A man wearing a yellow shirt is holding a bottle while walking with a crowd of people.,A man holds bottle while walking in a crowd.
A man is describing stuff using chalk on a chalkboard.,The man is talking.
A beautiful ballerina is dancing on the beach by herself.,A ballerina is dancing on the beach.
An overhead image of two children and others on dark steps.,People on steps in the dark.
A man holding giving a lecture.,A person gives a lecture.
Man sits on the sidewalk with a laptop.,Guy sits with his computer.
A surfer is doing a turn on his board.,a board is being used
A woman in a black bikini and white shorts rides a bicycle on the beach.,A woman in a black bikini rides a bike on the beach.
yeah that's interesting because that's a good idea yeah,It is interesting because it is a good idea.
A girl in a green shirt is posing humorously with a bicycle in a parking lot.,a girl is outside
Three Asian men in a kitchen cooking.,Some men are cooking.
The gardens are a powerful tribute to the thousands of Irish soldiers who died in World War I while serving in the British Army.,Thousands of Irish soldiers died in World War I.
"Martin Schongauer's beautiful altar painting Vierge au Buisson de Roses (Madonna in the Rose Bower) can be found in the Eglise des Dominicains, along with some remarkable 14th- and 15th-century stained-glass windows.",You can find martin schongauer's artwork with stained glass windows.
Some men standing in front of a building next to a parked car.,The man is next to a vehicle.
